Loan_ID,Default
L00000001,0
L00000002,0
L00000003,0
L00000004,0
L00000005,0
L00000006,0
L00000007,0
L00000008,1
L00000009,0
L00000010,0
L00000011,1
L00000012,0
L00000013,1
L00000014,0
L00000015,0
L00000016,0
L00000017,0
L00000018,1
L00000019,1
L00000020,0
L00000021,0
L00000022,0
L00000023,0
L00000024,0
L00000025,0
L00000026,1
L00000027,0
L00000028,1
L00000029,0
L00000030,0
L00000031,0
L00000032,0
L00000033,0
L00000034,0
L00000035,0
L00000036,0
L00000037,0
L00000038,0
L00000039,0
L00000040,0
L00000041,0
L00000042,0
L00000043,0
L00000044,0
L00000045,0
L00000046,0
L00000047,0
L00000048,0
L00000049,0
L00000050,0
L00000051,0
L00000052,0
L00000053,0
L00000054,0
L00000055,0
L00000056,0
L00000057,0
L00000058,1
L00000059,1
L00000060,1
L00000061,0
L00000062,0
L00000063,0
L00000064,1
L00000065,1
L00000066,0
L00000067,1
L00000068,0
L00000069,0
L00000070,0
L00000071,0
L00000072,0
L00000073,0
L00000074,0
L00000075,0
L00000076,0
L00000077,0
L00000078,0
L00000079,0
L00000080,0
L00000081,0
L00000082,0
L00000083,0
L00000084,1
L00000085,1
L00000086,0
L00000087,0
L00000088,0
L00000089,0
L00000090,0
L00000091,0
L00000092,0
L00000093,0
L00000094,1
L00000095,0
L00000096,0
L00000097,0
L00000098,0
L00000099,1
L00000100,0
L00000101,1
L00000102,0
L00000103,0
L00000104,1
L00000105,1
L00000106,0
L00000107,0
L00000108,1
L00000109,0
L00000110,0
L00000111,0
L00000112,0
L00000113,0
L00000114,0
L00000115,0
L00000116,1
L00000117,0
L00000118,0
L00000119,0
L00000120,0
L00000121,0
L00000122,0
L00000123,1
L00000124,0
L00000125,0
L00000126,0
L00000127,0
L00000128,1
L00000129,0
L00000130,1
L00000131,0
L00000132,0
L00000133,0
L00000134,0
L00000135,0
L00000136,0
L00000137,0
L00000138,0
L00000139,0
L00000140,0
L00000141,0
L00000142,0
L00000143,0
L00000144,0
L00000145,0
L00000146,0
L00000147,0
L00000148,0
L00000149,0
L00000150,0
L00000151,0
L00000152,0
L00000153,0
L00000154,0
L00000155,0
L00000156,0
L00000157,1
L00000158,0
L00000159,0
L00000160,1
L00000161,0
L00000162,0
L00000163,0
L00000164,0
L00000165,0
L00000166,1
L00000167,0
L00000168,1
L00000169,0
L00000170,0
L00000171,1
L00000172,0
L00000173,1
L00000174,0
L00000175,0
L00000176,0
L00000177,1
L00000178,0
L00000179,0
L00000180,1
L00000181,0
L00000182,0
L00000183,1
L00000184,0
L00000185,0
L00000186,0
L00000187,0
L00000188,0
L00000189,0
L00000190,0
L00000191,0
L00000192,1
L00000193,0
L00000194,0
L00000195,0
L00000196,0
L00000197,0
L00000198,0
L00000199,0
L00000200,0
L00000201,0
L00000202,1
L00000203,0
L00000204,0
L00000205,0
L00000206,0
L00000207,0
L00000208,0
L00000209,0
L00000210,0
L00000211,0
L00000212,0
L00000213,0
L00000214,0
L00000215,1
L00000216,0
L00000217,0
L00000218,0
L00000219,1
L00000220,0
L00000221,0
L00000222,0
L00000223,1
L00000224,0
L00000225,0
L00000226,0
L00000227,0
L00000228,0
L00000229,0
L00000230,0
L00000231,0
L00000232,0
L00000233,0
L00000234,1
L00000235,1
L00000236,0
L00000237,0
L00000238,0
L00000239,0
L00000240,0
L00000241,1
L00000242,0
L00000243,0
L00000244,0
L00000245,0
L00000246,0
L00000247,0
L00000248,0
L00000249,0
L00000250,0
L00000251,0
L00000252,0
L00000253,0
L00000254,0
L00000255,0
L00000256,0
L00000257,0
L00000258,0
L00000259,0
L00000260,0
L00000261,0
L00000262,1
L00000263,0
L00000264,1
L00000265,0
L00000266,0
L00000267,0
L00000268,1
L00000269,0
L00000270,0
L00000271,0
L00000272,1
L00000273,1
L00000274,0
L00000275,0
L00000276,1
L00000277,1
L00000278,0
L00000279,0
L00000280,0
L00000281,0
L00000282,0
L00000283,0
L00000284,0
L00000285,0
L00000286,0
L00000287,0
L00000288,0
L00000289,1
L00000290,0
L00000291,0
L00000292,0
L00000293,0
L00000294,0
L00000295,0
L00000296,0
L00000297,0
L00000298,0
L00000299,0
L00000300,0
L00000301,0
L00000302,0
L00000303,0
L00000304,0
L00000305,1
L00000306,0
L00000307,0
L00000308,0
L00000309,0
L00000310,0
L00000311,0
L00000312,0
L00000313,1
L00000314,0
L00000315,0
L00000316,0
L00000317,0
L00000318,0
